SID,LNAME,FNAME,DOB,GENDER,MAJOR,ENROLL_D,GPA,EMAIL
50000051,Harris,Mia,20040724,F,PHYS,20240926,2.25,mia.harris51@student.mcc.edu
50000052,Robinson,Ava,19980514,X,BIOL,20240109,2.27,ava.robinson52@student.mcc.edu
50000053,Davis,Taylor,19910827,X,COMM,20250101,2.23,taylor.davis53@student.mcc.edu
50000054,White,Alex,20030607,X,CSCI,20240829,3.27,alex.white54@student.mcc.edu
50000055,Harris,Skyler,19971220,X,CHEM,20250308,2.36,skyler.harris55@student.mcc.edu
50000056,Sanchez,Adrien,19850320,F,CSCI,20230116,2.34,adrien.sanchez56@student.mcc.edu
50000057,Garcia,Mia,19960714,M,ACCT,20240808,3.71,mia.garcia57@student.mcc.edu
50000058,Harris,Skyler,19910907,M,ARTS,20231012,2.48,skyler.harris58@student.mcc.edu
50000059,Ramirez,Sam,20070801,M,CSCI,20250524,2.98,sam.ramirez59@student.mcc.edu
50000060,Taylor,Liam,19970720,F,BIOL,20250722,2.93,liam.taylor60@student.mcc.edu
50000061,Moore,Mason,20010426,X,MATH,20231128,3.42,mason.moore61@student.mcc.edu
50000062,Jackson,Sophia,19910226,F,PSYC,20230614,2.70,sophia.jackson62@student.mcc.edu
50000063,Martinez,Adrien,20000212,F,CSCI,20240830,3.42,adrien.martinez63@student.mcc.edu
50000064,Thompson,Alex,19900215,M,PHYS,20230820,2.26,alex.thompson64@student.mcc.edu
50000065,Thomas,Mason,19940818,M,PHYS,20240511,2.30,mason.thomas65@student.mcc.edu
50000066,Perez,Parker,20050625,X,PSYC,20230828,3.45,parker.perez66@student.mcc.edu
50000067,Martinez,Taylor,19900113,X,ACCT,20230714,3.23,taylor.martinez67@student.mcc.edu
50000068,Clark,Mason,19980930,X,ENGL,20250626,3.24,mason.clark68@student.mcc.edu
50000069,Johnson,Alex,19900925,M,CSCI,20241114,2.04,alex.johnson69@student.mcc.edu
50000070,Martin,Harper,20000331,F,HIST,20241104,2.32,harper.martin70@student.mcc.edu
50000071,Martin,Skyler,19860721,M,PSYC,20250611,2.88,skyler.martin71@student.mcc.edu
50000072,Lewis,Taylor,19960903,M,ACCT,20230417,3.90,taylor.lewis72@student.mcc.edu
50000073,Hernandez,Mason,20031101,M,COMM,20230302,2.61,mason.hernandez73@student.mcc.edu
50000074,Sanchez,Rowan,19890405,X,PSYC,20230115,3.49,rowan.sanchez74@student.mcc.edu
50000075,Wilson,Sophia,20020225,M,CSCI,20230223,3.74,sophia.wilson75@student.mcc.edu
50000076,Brown,Logan,19950607,M,CHEM,20230604,2.31,logan.brown76@student.mcc.edu
50000077,Taylor,Olivia,20040825,F,HIST,20250611,2.00,olivia.taylor77@student.mcc.edu
50000078,Anderson,Noah,20031112,F,ENGL,20240101,2.99,noah.anderson78@student.mcc.edu
50000079,Thomas,Harper,19920331,F,ENGL,20240322,3.50,harper.thomas79@student.mcc.edu
50000080,Johnson,Harper,20070117,M,ENGL,20230423,2.56,harper.johnson80@student.mcc.edu
50000081,Sanchez,Quinn,19850919,X,MATH,20250818,3.00,quinn.sanchez81@student.mcc.edu
50000082,Williams,Logan,19871226,F,ARTS,20240203,3.40,logan.williams82@student.mcc.edu
50000083,Anderson,Alex,20021231,X,HIST,20250306,3.95,alex.anderson83@student.mcc.edu
50000084,Rodriguez,Liam,19941124,F,HIST,20250610,3.79,liam.rodriguez84@student.mcc.edu
50000085,Anderson,Olivia,20060729,X,MATH,20240929,3.23,olivia.anderson85@student.mcc.edu
50000086,Ramirez,Emma,19850520,F,HIST,20240109,3.77,emma.ramirez86@student.mcc.edu
50000087,Harris,Sophia,19891230,X,ACCT,20230429,3.59,sophia.harris87@student.mcc.edu
50000088,Miller,Mia,19860721,F,CSCI,20240630,3.50,mia.miller88@student.mcc.edu
50000089,Clark,Jamie,19920810,F,PHYS,20230617,2.45,jamie.clark89@student.mcc.edu
50000090,Jackson,Riley,20070326,M,HIST,20250802,2.04,riley.jackson90@student.mcc.edu
50000091,Smith,Logan,20010830,X,HIST,20230705,3.26,logan.smith91@student.mcc.edu
50000092,Jackson,Parker,20011101,X,CSCI,20230406,3.99,parker.jackson92@student.mcc.edu
50000093,White,Reese,19970615,F,CSCI,20250513,2.61,reese.white93@student.mcc.edu
50000094,Martin,Noah,20011106,F,HIST,20240524,3.88,noah.martin94@student.mcc.edu
50000095,Garcia,Taylor,19890906,M,CSCI,20231013,2.60,taylor.garcia95@student.mcc.edu
50000096,Miller,Cameron,19930104,M,ARTS,20241002,3.42,cameron.miller96@student.mcc.edu
50000097,Lee,Avery,19970210,M,MATH,20240922,3.63,avery.lee97@student.mcc.edu
50000098,Sanchez,Alex,19961112,F,HIST,20231121,3.08,alex.sanchez98@student.mcc.edu
50000099,Lee,Ethan,19970916,F,COMM,20230429,2.31,ethan.lee99@student.mcc.edu
50000100,White,Mia,19850815,X,BIOL,20241029,2.33,mia.white0@student.mcc.edu
50000101,Lewis,Olivia,19900627,X,MATH,20240620,3.56,olivia.lewis1@student.mcc.edu
50000102,Williams,Adrien,19950807,F,HIST,20250515,3.73,adrien.williams2@student.mcc.edu
50000103,Moore,Evan,19930806,X,ACCT,20250117,3.94,evan.moore3@student.mcc.edu
50000104,Rodriguez,Cameron,19940423,F,PSYC,20230217,2.01,cameron.rodriguez4@student.mcc.edu
50000105,Lopez,Avery,20000627,M,CHEM,20250707,3.60,avery.lopez5@student.mcc.edu
50000106,Sanchez,Jordan,19960915,M,ARTS,20231127,3.55,jordan.sanchez6@student.mcc.edu
50000107,Wilson,Liam,19910226,F,ENGL,20240730,3.34,liam.wilson7@student.mcc.edu
50000108,Gonzalez,Riley,19880703,M,ENGL,20240229,2.74,riley.gonzalez8@student.mcc.edu
50000109,Miller,Emma,19981008,F,PHYS,20250412,3.15,emma.miller9@student.mcc.edu
50000110,Garcia,Taylor,20020315,M,BIOL,20230623,3.99,taylor.garcia10@student.mcc.edu
50000111,Ramirez,Evan,19850613,X,ARTS,20230728,3.02,evan.ramirez11@student.mcc.edu
50000112,Anderson,Reese,20040514,X,CSCI,20240623,2.82,reese.anderson12@student.mcc.edu
50000113,Clark,Adrien,19861117,F,ACCT,20230422,2.04,adrien.clark13@student.mcc.edu
50000114,Sanchez,Rowan,20030218,X,BIOL,20230222,2.54,rowan.sanchez14@student.mcc.edu
50000115,Rodriguez,Morgan,19900313,F,ARTS,20230105,2.12,morgan.rodriguez15@student.mcc.edu
50000116,White,Quinn,19930520,X,BIOL,20241023,2.55,quinn.white16@student.mcc.edu
50000117,Martin,Alex,19970122,M,MATH,20240928,2.87,alex.martin17@student.mcc.edu
50000118,Gonzalez,Noah,19870101,M,HIST,20230907,3.41,noah.gonzalez18@student.mcc.edu
50000119,Robinson,Noah,19920915,M,ENGL,20240429,2.40,noah.robinson19@student.mcc.edu
50000120,Taylor,Riley,19890301,F,BIOL,20241129,3.22,riley.taylor20@student.mcc.edu
50000121,Miller,Quinn,19921011,M,BUSN,20250720,2.61,quinn.miller21@student.mcc.edu
50000122,Miller,Riley,20040829,X,HIST,20240726,2.12,riley.miller22@student.mcc.edu
50000123,Johnson,Quinn,19890221,X,CHEM,20230511,2.07,quinn.johnson23@student.mcc.edu
50000124,Jackson,Evan,20010414,M,ACCT,20231123,3.69,evan.jackson24@student.mcc.edu
50000125,Rodriguez,Rowan,20070816,F,PHYS,20240302,3.41,rowan.rodriguez25@student.mcc.edu
50000126,Miller,Mason,20060527,F,ACCT,20250721,3.36,mason.miller26@student.mcc.edu
50000127,Robinson,Cameron,20010710,M,ENGL,20240729,2.30,cameron.robinson27@student.mcc.edu
50000128,Wilson,Skyler,19901027,X,COMM,20250606,2.91,skyler.wilson28@student.mcc.edu
50000129,Robinson,Jamie,19870102,X,ACCT,20241107,2.72,jamie.robinson29@student.mcc.edu
50000130,Perez,Riley,19910612,M,PHYS,20230723,2.61,riley.perez30@student.mcc.edu
50000131,Brown,Quinn,19920317,F,ARTS,20250815,2.68,quinn.brown31@student.mcc.edu
50000132,Wilson,Drew,20000629,X,CHEM,20230607,2.40,drew.wilson32@student.mcc.edu
50000133,Johnson,Isabella,20020506,F,HIST,20230731,3.00,isabella.johnson33@student.mcc.edu
50000134,Robinson,Olivia,19911204,X,CSCI,20240803,2.40,olivia.robinson34@student.mcc.edu
50000135,Brown,Harper,19930830,M,CHEM,20230417,3.18,harper.brown35@student.mcc.edu
50000136,Anderson,Casey,20020418,M,ARTS,20250708,2.83,casey.anderson36@student.mcc.edu
50000137,Thompson,Logan,19920219,M,ENGL,20230804,2.84,logan.thompson37@student.mcc.edu
50000138,Williams,Jordan,20010112,F,COMM,20241204,2.74,jordan.williams38@student.mcc.edu
50000139,Taylor,Sophia,19911205,F,ENGL,20240404,3.87,sophia.taylor39@student.mcc.edu
50000140,Rodriguez,Liam,20001124,X,ACCT,20250217,3.30,liam.rodriguez40@student.mcc.edu
50000141,Clark,Ethan,19851219,M,CHEM,20240518,2.85,ethan.clark41@student.mcc.edu
50000142,Martinez,Evan,19920301,X,BUSN,20230901,2.53,evan.martinez42@student.mcc.edu
50000143,Gonzalez,Skyler,20011002,M,ACCT,20250111,2.64,skyler.gonzalez43@student.mcc.edu
50000144,Miller,Mason,19911127,M,CHEM,20240924,3.07,mason.miller44@student.mcc.edu
50000145,Miller,Drew,19921109,X,ENGL,20230722,3.81,drew.miller45@student.mcc.edu
50000146,Rodriguez,Mason,20041108,X,PHYS,20231214,3.49,mason.rodriguez46@student.mcc.edu
50000147,Jones,Mason,19990609,X,HIST,20240219,2.26,mason.jones47@student.mcc.edu
50000148,White,Evan,20011120,F,BUSN,20240625,2.53,evan.white48@student.mcc.edu
50000149,Smith,Riley,19900717,M,ACCT,20230723,2.18,riley.smith49@student.mcc.edu
50000150,Rodriguez,Skyler,20020527,X,CHEM,20250417,3.68,skyler.rodriguez50@student.mcc.edu
50000151,Lee,Olivia,19900119,X,BUSN,20231225,3.01,olivia.lee51@student.mcc.edu
50000152,Jackson,Emma,19930727,X,ARTS,20240718,2.34,emma.jackson52@student.mcc.edu
50000153,Ramirez,Noah,19940310,M,ACCT,20240606,3.75,noah.ramirez53@student.mcc.edu
50000154,Clark,Jordan,20041004,X,ARTS,20250819,2.27,jordan.clark54@student.mcc.edu
50000155,Moore,Casey,19930920,M,CSCI,20250708,3.41,casey.moore55@student.mcc.edu
50000156,Wilson,Quinn,19970409,F,PSYC,20230317,3.47,quinn.wilson56@student.mcc.edu
50000157,Thompson,Morgan,20000606,F,CHEM,20240812,2.39,morgan.thompson57@student.mcc.edu
50000158,Harris,Mason,20030211,F,CSCI,20250626,2.55,mason.harris58@student.mcc.edu
50000159,Hernandez,Quinn,20000307,F,ENGL,20240218,2.38,quinn.hernandez59@student.mcc.edu
50000160,Thompson,Mia,19990131,M,COMM,20250211,3.03,mia.thompson60@student.mcc.edu
50000161,Harris,Rowan,19920122,X,ACCT,20230813,2.61,rowan.harris61@student.mcc.edu
50000162,Anderson,Avery,19980818,X,MATH,20230807,2.00,avery.anderson62@student.mcc.edu
50000163,Smith,Taylor,20001119,F,PSYC,20250304,3.70,taylor.smith63@student.mcc.edu
50000164,Robinson,Drew,20071219,M,COMM,20230821,3.28,drew.robinson64@student.mcc.edu
50000165,Moore,Jamie,19900415,F,BUSN,20241116,3.02,jamie.moore65@student.mcc.edu
50000166,Lewis,Ava,19980725,M,BIOL,20231211,2.56,ava.lewis66@student.mcc.edu
50000167,White,Ethan,20031024,F,ARTS,20250205,2.01,ethan.white67@student.mcc.edu
50000168,Martinez,Sam,19910331,F,BUSN,20240729,2.89,sam.martinez68@student.mcc.edu
50000169,Lewis,Emma,19990113,M,HIST,20240911,3.61,emma.lewis69@student.mcc.edu
50000170,Davis,Emma,19990306,M,PSYC,20240701,2.66,emma.davis70@student.mcc.edu
50000171,Jones,Mason,19890401,X,BUSN,20230705,2.81,mason.jones71@student.mcc.edu
50000172,Martin,Avery,20051207,F,ENGL,20240302,2.42,avery.martin72@student.mcc.edu
50000173,Miller,Evan,20060615,M,PHYS,20240424,2.86,evan.miller73@student.mcc.edu
50000174,Sanchez,Jamie,19961204,M,BIOL,20230813,2.32,jamie.sanchez74@student.mcc.edu
50000175,Jones,Cameron,20060331,F,ACCT,20240827,2.18,cameron.jones75@student.mcc.edu
50000176,Sanchez,Liam,20030208,F,PSYC,20250404,3.22,liam.sanchez76@student.mcc.edu
50000177,Ramirez,Riley,19870312,X,ACCT,20230606,2.60,riley.ramirez77@student.mcc.edu
50000178,Williams,Skyler,20060125,X,HIST,20241202,3.54,skyler.williams78@student.mcc.edu
50000179,Anderson,Rowan,20060929,F,BIOL,20231009,2.21,rowan.anderson79@student.mcc.edu
50000180,Rodriguez,Alex,19870709,M,HIST,20240402,2.06,alex.rodriguez80@student.mcc.edu
50000181,Jones,Olivia,19970220,M,PHYS,20250119,2.18,olivia.jones81@student.mcc.edu
50000182,Thompson,Mason,20040527,F,HIST,20231001,2.79,mason.thompson82@student.mcc.edu
50000183,Martin,Olivia,19930807,M,ACCT,20230514,2.91,olivia.martin83@student.mcc.edu
50000184,Williams,Taylor,19900510,X,HIST,20250120,3.85,taylor.williams84@student.mcc.edu
50000185,Clark,Sam,20050925,F,ENGL,20250809,2.84,sam.clark85@student.mcc.edu
50000186,Lee,Taylor,20010614,M,CSCI,20240405,3.07,taylor.lee86@student.mcc.edu
50000187,Gonzalez,Liam,19880928,X,COMM,20250129,2.55,liam.gonzalez87@student.mcc.edu
50000188,Harris,Sophia,19900505,M,COMM,20240919,2.63,sophia.harris88@student.mcc.edu
50000189,Martinez,Parker,20060913,F,ENGL,20230319,3.30,parker.martinez89@student.mcc.edu
50000190,Harris,Cameron,19941124,M,ACCT,20250411,3.85,cameron.harris90@student.mcc.edu
50000191,Robinson,Liam,20030918,M,BIOL,20241112,2.47,liam.robinson91@student.mcc.edu
50000192,Johnson,Avery,20011008,F,ARTS,20240501,3.19,avery.johnson92@student.mcc.edu
50000193,Jackson,Mason,20071004,F,COMM,20230430,2.63,mason.jackson93@student.mcc.edu
50000194,Rodriguez,Liam,20001106,M,MATH,20241031,3.89,liam.rodriguez94@student.mcc.edu
50000195,Miller,Parker,20000824,X,CSCI,20230330,3.86,parker.miller95@student.mcc.edu
50000196,Perez,Parker,20010207,F,BIOL,20230501,2.69,parker.perez96@student.mcc.edu
50000197,Perez,Ava,19980222,X,ACCT,20240517,3.97,ava.perez97@student.mcc.edu
50000198,Rodriguez,Evan,19880818,M,BIOL,20230307,3.95,evan.rodriguez98@student.mcc.edu
50000199,Davis,Avery,19890925,M,ACCT,20250505,2.11,avery.davis99@student.mcc.edu
